# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 100 100 0 80 0.00030009 0.00030009 0.00570171 0.178253 0.0418125 0.0530159 0.0942283
 100 100 0 40 0.0007 0.0009 0.0039 0.2 0.0328 0.0438 0.0667
 100 100 0 0 0.00020008 0.00020008 0.00480192 0.192277 0.0334134 0.0444178 0.0741297
 100 100 40 80 0.0003 0.0006 0.0074 0.1957 0.0352 0.0448 0.0833
 100 100 40 40 0.0004 0.0011 0.0051 0.208 0.0302 0.0405 0.0627
 100 100 80 80 0.00110033 0.00140042 0.0116035 0.252776 0.0272082 0.0350105 0.0756227
 100 200 0 80 0.0040016 0.0055022 0.0111044 0.107043 0.264606 0.32493 0.362245
 100 200 0 40 0.0034 0.0051 0.0093 0.1066 0.245 0.3186 0.3282
 100 200 0 0 0.00350105 0.00490147 0.010003 0.107132 0.253576 0.322097 0.340002
 100 200 40 80 0.00490049 0.00670067 0.0146015 0.116212 0.236124 0.286729 0.332633
 100 200 40 40 0.00450135 0.00640192 0.0111033 0.121436 0.218265 0.287386 0.296889
 100 200 80 80 0.00920092 0.0128013 0.0233023 0.180818 0.185419 0.231423 0.283928
 100 300 0 80 0.0113011 0.0145015 0.0174017 0.0465047 0.705471 0.773677 0.773877
 100 300 0 40 0.0142014 0.0187019 0.0184018 0.0548055 0.672567 0.767177 0.728073
 100 300 0 0 0.0127 0.0168 0.0196 0.0536 0.6848 0.7658 0.7491
 100 300 40 80 0.0165033 0.0196039 0.0246049 0.0576115 0.665933 0.742649 0.743749
 100 300 40 40 0.0153046 0.0208062 0.0229069 0.0602181 0.654796 0.745924 0.720216
 100 300 80 80 0.0279 0.0353 0.0413 0.1027 0.6041 0.6831 0.6997
 100 400 0 80 0.0210042 0.0240048 0.025105 0.0373075 0.904281 0.938988 0.927185
 100 400 0 40 0.0191 0.0229 0.0229 0.0352 0.8956 0.9407 0.9157
 100 400 0 0 0.0175 0.0199 0.0211 0.0319 0.9043 0.939 0.9229
 100 400 40 80 0.0226 0.0265 0.0269 0.0408 0.8879 0.9267 0.913
 100 400 40 40 0.0235071 0.0280084 0.026608 0.0416125 0.878364 0.926178 0.901871
 100 400 80 80 0.0408122 0.0470141 0.0503151 0.0721216 0.848355 0.897069 0.887566
 100 500 0 80 0.0221044 0.0233047 0.0235047 0.0285057 0.959792 0.974695 0.968494
 100 500 0 40 0.0215108 0.0233117 0.0225113 0.0282141 0.954577 0.974587 0.962581
 100 500 0 0 0.0236094 0.0259104 0.0246098 0.0319128 0.952581 0.972989 0.961184
 100 500 40 80 0.0233047 0.024805 0.0262052 0.0329066 0.95049 0.969094 0.960692
 100 500 40 40 0.027 0.0298 0.0292 0.0367 0.9436 0.968 0.954
 100 500 80 80 0.0461184 0.0496198 0.0493197 0.060124 0.936675 0.959984 0.95068
 100 600 0 80 0.0209021 0.0216022 0.0221022 0.0241024 0.978798 0.986899 0.984098
 100 600 0 40 0.0243097 0.0256102 0.02501 0.0278111 0.97519 0.987195 0.979392
 100 600 0 0 0.0219 0.0232 0.0229 0.0266 0.9771 0.9865 0.981
 100 600 40 80 0.0220066 0.0229069 0.0235071 0.026508 0.975093 0.986096 0.979594
 100 600 40 40 0.0279028 0.029903 0.0292029 0.0338034 0.971297 0.983698 0.976298
 100 600 80 80 0.0477143 0.0493148 0.0490147 0.0549165 0.964389 0.979894 0.971191
 100 700 0 80 0.0203081 0.0210084 0.0206082 0.022509 0.986194 0.992797 0.988595
 100 700 0 40 0.020402 0.0212021 0.0212021 0.0232023 0.985499 0.991999 0.988599
 100 700 0 0 0.020006 0.0208062 0.0204061 0.0221066 0.981995 0.990597 0.984895
 100 700 40 80 0.0230023 0.0233023 0.0233023 0.0248025 0.983898 0.991399 0.986599
 100 700 40 40 0.0248025 0.0256026 0.0253025 0.0271027 0.983598 0.991599 0.986199
