# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 100 100 0 80 0.00070007 0.00140014 0.00940094 0.186919 0.0607061 0.0692069 0.140814
 100 100 0 40 0.00130026 0.00230046 0.00770154 0.212342 0.0513103 0.0594119 0.105021
 100 100 0 0 0.00090009 0.00120012 0.0080008 0.213821 0.0363036 0.0428043 0.089909
 100 100 40 80 0.00150015 0.00230023 0.0120012 0.186519 0.049805 0.0589059 0.122812
 100 100 40 40 0.00120012 0.0020002 0.00750075 0.215822 0.0415042 0.0515052 0.0943094
 100 100 80 80 0.0040004 0.00450045 0.0185019 0.254025 0.0367037 0.0488049 0.0915092
 100 200 0 80 0.0009 0.0012 0.0102 0.1849 0.0601 0.0685 0.1361
 100 200 0 40 0.0011 0.0021 0.0081 0.2073 0.0481 0.057 0.102
 100 200 0 0 0.00110011 0.00140014 0.00620062 0.211021 0.0342034 0.0405041 0.0784078
 100 200 40 80 0.00140014 0.00210021 0.0108011 0.189119 0.0491049 0.0583058 0.113411
 100 200 40 40 0.0015003 0.00170034 0.00920184 0.216243 0.0421084 0.0503101 0.090118
 100 200 80 80 0.00440044 0.00580058 0.020102 0.247725 0.0375038 0.0485049 0.0927093
 100 300 0 80 0.0010001 0.0010001 0.00880088 0.179918 0.059906 0.0659066 0.137614
 100 300 0 40 0.00190038 0.00240048 0.00920184 0.210742 0.0453091 0.0523105 0.0987197
 100 300 0 0 0.00030003 0.00040004 0.00540054 0.210821 0.0283028 0.0319032 0.0683068
 100 300 40 80 0.002 0.0024 0.0109 0.187 0.0506 0.0584 0.112
 100 300 40 40 0.00170017 0.00260026 0.00830083 0.210821 0.0433043 0.050405 0.0892089
 100 300 80 80 0.0026 0.0039 0.0156 0.2365 0.034 0.045 0.0899
 100 400 0 80 0.0004 0.0009 0.0096 0.1878 0.0523 0.0611 0.1273
 100 400 0 40 0.00120012 0.00170017 0.00770077 0.215822 0.0480048 0.0551055 0.10181
 100 400 0 0 0.00110011 0.00150015 0.00550055 0.20362 0.030103 0.0350035 0.0717072
 100 400 40 80 0.0010001 0.00140014 0.00980098 0.190019 0.0449045 0.0526053 0.10491
 100 400 40 40 0.0011 0.0019 0.0063 0.2149 0.0377 0.0458 0.0858
 100 400 80 80 0.00330132 0.00430172 0.0181072 0.240096 0.0332133 0.0437175 0.0834334
 100 500 0 80 0.0010001 0.00150015 0.00940094 0.187019 0.0487049 0.0568057 0.124112
 100 500 0 40 0.0010002 0.0015003 0.00560112 0.214843 0.0404081 0.0484097 0.0917183
 100 500 0 0 0.0008 0.0011 0.0053 0.2159 0.0233 0.0286 0.065
 100 500 40 80 0.0010001 0.00130013 0.010301 0.185519 0.0448045 0.0515052 0.107411
 100 500 40 40 0.00190019 0.00210021 0.00710071 0.215422 0.0409041 0.0478048 0.0835084
 100 500 80 80 0.0030012 0.00380152 0.0206082 0.246599 0.0328131 0.0447179 0.0888355
 100 600 0 80 0.0010002 0.00140028 0.0090018 0.193339 0.0510102 0.0584117 0.117524
 100 600 0 40 0.00120012 0.00130013 0.00680068 0.215722 0.0427043 0.0489049 0.0915092
 100 600 0 0 0.0006 0.0009 0.0066 0.2096 0.0264 0.0314 0.0734
 100 600 40 80 0.0011 0.0013 0.0093 0.1863 0.0429 0.0523 0.1046
 100 600 40 40 0.00110022 0.00140028 0.00810162 0.227646 0.0364073 0.0439088 0.0782156
 100 600 80 80 0.0031 0.004 0.0169 0.2515 0.0346 0.0449 0.0855
 100 700 0 80 0.00180018 0.00220022 0.010401 0.183818 0.0486049 0.0568057 0.119212
 100 700 0 40 0.0010003 0.00130039 0.00640192 0.217065 0.0427128 0.050115 0.0925278
 100 700 0 0 0.0003 0.0005 0.0054 0.2038 0.0302 0.0353 0.0805
 100 700 40 80 0.00110022 0.0015003 0.0107021 0.184637 0.0454091 0.0547109 0.109122
 100 700 40 40 0.0014 0.002 0.0087 0.2215 0.0364 0.0438 0.0815
 100 700 80 80 0.00330033 0.00380038 0.0184018 0.233923 0.0321032 0.0411041 0.089609
 100 800 0 80 0.00120012 0.00120012 0.00930093 0.187719 0.0512051 0.0570057 0.121912
 100 800 0 40 0.00090009 0.00120012 0.00790079 0.212721 0.0394039 0.0457046 0.0935094
 100 800 0 0 0.00040004 0.00070007 0.00520052 0.20222 0.0284028 0.0323032 0.0725073
 100 800 40 80 0.00090018 0.00140028 0.00770154 0.186637 0.0467093 0.0564113 0.104621
 100 800 40 40 0.0015 0.0017 0.0082 0.216 0.0352 0.041 0.0773
 100 800 80 80 0.00220044 0.00310062 0.0178036 0.242348 0.0292058 0.0380076 0.0847169
 100 900 0 80 0.00090009 0.00130013 0.010001 0.185319 0.0494049 0.0557056 0.117612
 100 900 0 40 0.00110011 0.00190019 0.00650065 0.217622 0.0424042 0.0512051 0.0910091
 100 900 0 0 0.00040004 0.00050005 0.00440044 0.211921 0.030403 0.0361036 0.0778078
 100 900 40 80 0.00120024 0.00130026 0.0103021 0.196139 0.0428086 0.0490098 0.10242
 100 900 40 40 0.00130026 0.00130026 0.00820164 0.214043 0.0367073 0.0445089 0.0831166
 100 900 80 80 0.0015003 0.0020004 0.0170034 0.236747 0.0311062 0.0404081 0.0857171
 100 1000 0 80 0.001 0.0015 0.0109 0.1882 0.0474 0.0555 0.1186
 100 1000 0 40 0.00090009 0.00140014 0.00710071 0.211621 0.0413041 0.050005 0.090309
 100 1000 0 0 0.00160016 0.00170017 0.00710071 0.20332 0.0330033 0.0383038 0.0811081
 100 1000 40 80 0.0014 0.0016 0.0101 0.1874 0.0468 0.0551 0.1023
 100 1000 40 40 0.00130026 0.00190038 0.00660132 0.214143 0.0374075 0.0466093 0.0817163
 100 1000 80 80 0.00230023 0.00290029 0.0180018 0.236224 0.0325033 0.0411041 0.089809
 100 1100 0 80 0.00080008 0.00130013 0.00890089 0.186819 0.0532053 0.0608061 0.125213
