# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 100 100 0 80 0.001 0.0014 0.0112 0.1895 0.0336 0.0399 0.0952
 100 100 0 40 0.00080008 0.0010001 0.00540054 0.211321 0.0294029 0.0374037 0.0711071
 100 100 0 0 0.0006 0.0011 0.0072 0.2136 0.032 0.0388 0.0774
 100 100 40 80 0.001 0.0014 0.0089 0.1944 0.0301 0.0368 0.0788
 100 100 40 40 0.0014 0.0019 0.0064 0.214 0.0274 0.0333 0.0644
 100 100 80 80 0.0021 0.0027 0.0144 0.2464 0.023 0.0298 0.0652
 100 200 0 80 0.0044 0.0057 0.0194 0.1873 0.1126 0.1292 0.2286
 100 200 0 40 0.0045 0.0064 0.0149 0.195 0.1114 0.1363 0.2038
 100 200 0 0 0.00460046 0.00670067 0.0182018 0.194119 0.113611 0.139214 0.208221
 100 200 40 80 0.005 0.007 0.0229 0.2012 0.0972 0.117 0.1976
 100 200 40 40 0.0055 0.0074 0.0153 0.2129 0.0951 0.1197 0.1739
 100 200 80 80 0.0107011 0.0135014 0.0373037 0.288429 0.0682068 0.0855086 0.145815
 100 300 0 80 0.0136 0.0157 0.0313 0.1049 0.3418 0.3944 0.5106
 100 300 0 40 0.013 0.0166 0.0275 0.1136 0.3421 0.4053 0.477
 100 300 0 0 0.0141 0.0176 0.0277 0.1072 0.3476 0.4114 0.4916
 100 300 40 80 0.014 0.0166 0.0358 0.1158 0.3005 0.3566 0.4721
 100 300 40 40 0.0141 0.0188 0.0285 0.1308 0.2905 0.3651 0.4267
 100 300 80 80 0.0289 0.0346 0.0621 0.1855 0.2162 0.2844 0.3905
 100 400 0 80 0.0196078 0.0222089 0.0322129 0.0741297 0.611244 0.676771 0.72529
 100 400 0 40 0.0194 0.0236 0.0293 0.0783 0.5938 0.6674 0.6972
 100 400 0 0 0.022 0.0257 0.0322 0.0804 0.5986 0.6693 0.6984
 100 400 40 80 0.0238 0.0265 0.0358 0.0835 0.5861 0.6478 0.707
 100 400 40 40 0.0212021 0.0272027 0.0326033 0.090109 0.567357 0.650865 0.669967
 100 400 80 80 0.0460046 0.0520052 0.0690069 0.140414 0.494649 0.581358 0.636264
 100 500 0 80 0.019902 0.0231023 0.0280028 0.0589059 0.750775 0.793079 0.816782
 100 500 0 40 0.0197 0.0232 0.0261 0.0615 0.7439 0.8015 0.7963
 100 500 0 0 0.0211042 0.0245049 0.0297059 0.064913 0.746049 0.797259 0.806561
 100 500 40 80 0.0261026 0.0288029 0.0352035 0.0719072 0.733073 0.783078 0.79748
 100 500 40 40 0.0272027 0.0312031 0.0346035 0.0756076 0.714271 0.775978 0.771877
 100 500 80 80 0.050305 0.0548055 0.0653065 0.112411 0.688369 0.756276 0.762376
 100 600 0 80 0.02 0.0216 0.0286 0.053 0.8157 0.8436 0.8633
 100 600 0 40 0.0189038 0.0232046 0.0234047 0.0543109 0.796259 0.837467 0.837367
 100 600 0 0 0.0194 0.0222 0.0254 0.0537 0.8102 0.8471 0.8501
 100 600 40 80 0.0237 0.0267 0.0301 0.0572 0.7991 0.8374 0.8428
 100 600 40 40 0.0214021 0.0245025 0.0270027 0.0590059 0.788479 0.834283 0.829083
 100 600 80 80 0.0451 0.0494 0.0578 0.0976 0.7583 0.8125 0.8129
 100 700 0 80 0.0185019 0.0207021 0.0228023 0.0476048 0.834983 0.862386 0.872787
 100 700 0 40 0.0175018 0.0209021 0.0219022 0.0488049 0.820482 0.859986 0.851785
 100 700 0 0 0.0172 0.0186 0.0224 0.0489 0.8282 0.8591 0.8597
 100 700 40 80 0.0224 0.0246 0.0287 0.0533 0.8233 0.8529 0.8643
 100 700 40 40 0.0222 0.0256 0.0275 0.0574 0.812 0.85 0.8433
 100 700 80 80 0.0423 0.0457 0.0545 0.0874 0.8021 0.8396 0.8459
 100 800 0 80 0.016705 0.0181054 0.0212064 0.040112 0.850855 0.874062 0.886566
 100 800 0 40 0.0199 0.0221 0.0255 0.0514 0.8338 0.8615 0.8639
 100 800 0 0 0.0165 0.0183 0.0207 0.0463 0.8335 0.8581 0.8639
 100 800 40 80 0.0213 0.0233 0.0266 0.0498 0.8417 0.8673 0.8775
 100 800 40 40 0.0199 0.0223 0.0251 0.0507 0.8268 0.8568 0.8562
 100 800 80 80 0.0389078 0.0413083 0.0473095 0.0827165 0.814463 0.84977 0.852771
 100 900 0 80 0.0136014 0.0146015 0.0192019 0.0413041 0.839784 0.859486 0.874487
 100 900 0 40 0.0184 0.0205 0.0226 0.0506 0.8289 0.8543 0.8585
 100 900 0 0 0.0180018 0.019502 0.0238024 0.0528053 0.817482 0.842884 0.852685
 100 900 40 80 0.0199 0.0218 0.0246 0.0504 0.836 0.8608 0.8681
 100 900 40 40 0.0194039 0.0222044 0.0242048 0.0547109 0.809862 0.840868 0.842468
 100 900 80 80 0.0336034 0.0366037 0.0448045 0.0773077 0.811981 0.844784 0.849385
 100 1000 0 80 0.0128 0.0148 0.0168 0.0418 0.8311 0.851 0.8643
 100 1000 0 40 0.0137014 0.0153015 0.0181018 0.0470047 0.815182 0.838984 0.846585
 100 1000 0 0 0.0148 0.016 0.02 0.0509 0.8077 0.8302 0.8408
 100 1000 40 80 0.0161032 0.0175035 0.0217043 0.04991 0.819764 0.842068 0.858572
 100 1000 40 40 0.0201 0.0221 0.0255 0.055 0.8061 0.8324 0.8407
 100 1000 80 80 0.0338034 0.0368037 0.0416042 0.0777078 0.806481 0.837384 0.839984
 100 1100 0 80 0.0135041 0.0148044 0.0195059 0.0484145 0.808242 0.826448 0.847254
 100 1100 0 40 0.0119 0.0133 0.0169 0.0518 0.7865 0.8169 0.821
 100 1100 0 0 0.0146015 0.0155016 0.0193019 0.050405 0.792979 0.816182 0.827483
 100 1100 40 80 0.0159 0.0171 0.0223 0.0497 0.8058 0.8291 0.8439
 100 1100 40 40 0.0192 0.0219 0.0245 0.0614 0.7841 0.8122 0.8181
 100 1100 80 80 0.0309 0.0344 0.0397 0.0834 0.7925 0.8202 0.83
 100 1200 0 80 0.0163 0.0173 0.0235 0.0545 0.7973 0.8172 0.8389
 100 1200 0 40 0.0136 0.0153 0.0187 0.0572 0.7655 0.7906 0.8047
 100 1200 0 0 0.0142 0.0153 0.0197 0.0551 0.7692 0.7928 0.8116
 100 1200 40 80 0.0138014 0.0153015 0.0193019 0.0530053 0.783378 0.805981 0.821082
 100 1200 40 40 0.0156 0.0175 0.0203 0.0591 0.7635 0.7895 0.8005
 100 1200 80 80 0.0307 0.0333 0.0393 0.0825 0.7692 0.7984 0.8084
 100 1300 0 80 0.0138014 0.0146015 0.020102 0.0532053 0.765577 0.787879 0.812881
 100 1300 0 40 0.0113011 0.0132013 0.0169017 0.059806 0.741874 0.769477 0.785779
 100 1300 0 0 0.0137 0.0149 0.0202 0.0638 0.7317 0.7556 0.7772
 100 1300 40 80 0.0159 0.0176 0.0224 0.0598 0.7605 0.7825 0.8059
 100 1300 40 40 0.016 0.019 0.023 0.0717 0.7262 0.7562 0.7681
 100 1300 80 80 0.030103 0.0322032 0.0412041 0.0905091 0.741774 0.770777 0.790879
 100 1400 0 80 0.0126013 0.0136014 0.0187019 0.0556056 0.751175 0.771977 0.79928
 100 1400 0 40 0.0120012 0.0142014 0.0164016 0.0633063 0.710471 0.740974 0.758576
 100 1400 0 0 0.0125 0.0142 0.0186 0.0648 0.71 0.7426 0.7589
 100 1400 40 80 0.0136 0.0151 0.0215 0.0628 0.7294 0.7544 0.7775
 100 1400 40 40 0.0152 0.0178 0.0216 0.0743 0.7078 0.7391 0.754
 100 1400 80 80 0.0277 0.0315 0.0391 0.0942 0.7172 0.7496 0.767
 100 1500 0 80 0.0116 0.013 0.0191 0.0629 0.7187 0.7419 0.7739
 100 1500 0 40 0.0127013 0.0147015 0.020202 0.070107 0.684468 0.718072 0.733073
 100 1500 0 0 0.0117 0.0136 0.0192 0.0698 0.6878 0.7206 0.7403
 100 1500 40 80 0.0165 0.0183 0.0242 0.0686 0.7041 0.7303 0.7608
 100 1500 40 40 0.0139014 0.0159016 0.020002 0.0725073 0.669067 0.70207 0.717372
 100 1500 80 80 0.0267027 0.0292029 0.0383038 0.105811 0.688169 0.718072 0.745675
 100 1600 0 80 0.0126013 0.0142014 0.0206021 0.0639064 0.69547 0.720072 0.754275
 100 1600 0 40 0.0106 0.0126 0.0162 0.0719 0.6541 0.6875 0.7071
 100 1600 0 0 0.0105 0.0124 0.016 0.068 0.6604 0.6926 0.7148
 100 1600 40 80 0.0139014 0.0149015 0.0223022 0.0753075 0.674767 0.69837 0.735674
 100 1600 40 40 0.0115023 0.0141028 0.0185037 0.0756151 0.639328 0.672735 0.695039
 100 1600 80 80 0.0283057 0.0321064 0.0434087 0.111922 0.654531 0.688538 0.717043
 100 1700 0 80 0.0122024 0.0130026 0.0184037 0.0697139 0.659332 0.683437 0.723545
 100 1700 0 40 0.0108011 0.0137014 0.0170017 0.0823082 0.631863 0.667567 0.690669
 100 1700 0 0 0.0133 0.0151 0.0196 0.0773 0.6315 0.6652 0.6863
 100 1700 40 80 0.0123 0.0137 0.0209 0.0753 0.6525 0.679 0.7144
 100 1700 40 40 0.0122 0.0143 0.0187 0.0847 0.6137 0.6531 0.6671
 100 1700 80 80 0.0266027 0.0294029 0.0407041 0.109611 0.634563 0.671767 0.69827
 100 1800 0 80 0.0113 0.0128 0.0213 0.0749 0.6365 0.6634 0.7054
 100 1800 0 40 0.0105021 0.0120024 0.0196039 0.084817 0.59872 0.636927 0.660532
 100 1800 0 0 0.0111011 0.0129013 0.0191019 0.0805081 0.608761 0.644264 0.672367
 100 1800 40 80 0.0161064 0.0178071 0.0262105 0.077531 0.637055 0.664366 0.702981
 100 1800 40 40 0.0166017 0.0186019 0.0239024 0.0957096 0.583958 0.623762 0.644164
 100 1800 80 80 0.025205 0.0283057 0.039908 0.122424 0.60142 0.637528 0.672935
 100 1900 0 80 0.0093 0.0111 0.0204 0.0786 0.6236 0.6544 0.7012
 100 1900 0 40 0.0108011 0.0129013 0.0188019 0.0910091 0.570657 0.609261 0.636864
 100 1900 0 0 0.0112011 0.0129013 0.020202 0.0889089 0.576658 0.612161 0.646265
 100 1900 40 80 0.0118012 0.0133013 0.0225023 0.0817082 0.605561 0.637164 0.680368
 100 1900 40 40 0.0116012 0.0140014 0.0209021 0.0937094 0.557856 0.60106 0.623562
 100 1900 80 80 0.026 0.0292 0.0401 0.1235 0.585 0.6214 0.653
 100 2000 0 80 0.0128013 0.0149015 0.0216022 0.0775078 0.60336 0.633863 0.682768
 100 2000 0 40 0.0104 0.0123 0.017 0.0884 0.5637 0.5986 0.6302
 100 2000 0 0 0.0118 0.0133 0.0191 0.0876 0.5565 0.5955 0.6286
 100 2000 40 80 0.0112011 0.0129013 0.0210021 0.0862086 0.587359 0.616062 0.661766
 100 2000 40 40 0.0137014 0.0161016 0.0215022 0.0954095 0.543854 0.584058 0.605461
 100 2000 80 80 0.0261026 0.029703 0.0442044 0.140114 0.553755 0.593359 0.629363
 200 100 0 80 0.0023 0.0038 0.0092 0.1151 0.1382 0.1912 0.2246
 200 100 0 40 0.0012 0.0023 0.0066 0.1309 0.1213 0.1681 0.1952
 200 100 0 0 0.0006 0.0011 0.0045 0.1398 0.0983 0.136 0.162
 200 100 40 80 0.0038 0.0049 0.0142 0.1392 0.1383 0.1829 0.223
 200 100 40 40 0.00220022 0.00360036 0.00940094 0.143214 0.115912 0.154115 0.193119
 200 100 80 80 0.0059 0.0078 0.0182 0.1483 0.1942 0.2495 0.2797
 200 200 0 160 0.0184 0.0254 0.0467 0.2116 0.3233 0.3707 0.4672
 200 200 0 80 0.0199 0.0268 0.042 0.1797 0.3345 0.3861 0.4637
 200 200 0 0 0.0183 0.0242 0.0352 0.1468 0.3374 0.3953 0.4694
 200 200 80 160 0.0231023 0.0311031 0.0432043 0.217722 0.29513 0.346835 0.413341
 200 200 80 80 0.0212021 0.0287029 0.0448045 0.178818 0.306731 0.360036 0.426543
 200 200 160 160 0.0312031 0.0416042 0.0607061 0.265127 0.205421 0.271427 0.30143
 200 300 0 160 0.0316 0.046 0.0581 0.1985 0.4279 0.4949 0.5492
 200 300 0 80 0.0366 0.0475 0.0618 0.1532 0.4841 0.5645 0.5983
 200 300 0 0 0.0332 0.0424 0.0505 0.1215 0.5099 0.6004 0.6132
 200 300 80 160 0.0351 0.0491 0.0614 0.2055 0.3817 0.4537 0.4986
 200 300 80 80 0.0393 0.0493 0.0655 0.1582 0.4405 0.5243 0.556
 200 300 160 160 0.059906 0.0780078 0.0975098 0.289929 0.271227 0.358536 0.360536
 200 400 0 160 0.0571 0.0685 0.0724 0.1295 0.6895 0.7674 0.7659
 200 400 0 80 0.0549055 0.0656066 0.0692069 0.113011 0.744774 0.817282 0.805581
 200 400 0 0 0.0529 0.0607 0.064 0.0967 0.7466 0.8185 0.8093
 200 400 80 160 0.0652 0.0767 0.0824 0.1393 0.6531 0.742 0.737
 200 400 80 80 0.0644129 0.0742148 0.080216 0.123025 0.70064 0.778156 0.779256
 200 400 160 160 0.1125 0.1285 0.1422 0.225 0.5306 0.6467 0.6391
