# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 100 100 0 80 0.0001 0.0003 0.0084 0.1803 0.0227 0.0261 0.0805
 100 100 0 40 0.0004 0.0004 0.0053 0.2014 0.0181 0.0217 0.0598
 100 100 0 0 0.0005 0.0006 0.0055 0.2155 0.0142 0.0159 0.0531
 100 100 40 80 0.0004 0.0004 0.007 0.1737 0.0169 0.0212 0.0617
 100 100 40 40 0.0006 0.0006 0.0049 0.1955 0.0136 0.0155 0.0471
 100 100 80 80 0.0007 0.001 0.0103 0.2021 0.0122 0.0154 0.0489
 100 200 0 80 0.0010002 0.0015003 0.0120024 0.180336 0.0513103 0.0575115 0.138728
 100 200 0 40 0.0008 0.0014 0.0093 0.2095 0.0416 0.0478 0.1052
 100 200 0 0 0.0006 0.0009 0.0092 0.2114 0.0359 0.0408 0.1027
 100 200 40 80 0.0007 0.0011 0.0101 0.1784 0.0344 0.0414 0.1023
 100 200 40 40 0.0006 0.0008 0.0099 0.2079 0.0346 0.0405 0.0953
 100 200 80 80 0.0029 0.0035 0.0178 0.2298 0.0262 0.035 0.0762
 100 300 0 80 0.0015 0.0022 0.0136 0.1804 0.0741 0.0839 0.1778
 100 300 0 40 0.0019 0.0027 0.0117 0.2083 0.0678 0.0764 0.1521
 100 300 0 0 0.0023 0.0027 0.0152 0.203 0.0683 0.0768 0.1623
 100 300 40 80 0.0014 0.0023 0.0126 0.1888 0.0663 0.0773 0.1478
 100 300 40 40 0.0016 0.0024 0.0131 0.2175 0.0572 0.0647 0.1273
 100 300 80 80 0.0033 0.0044 0.0216 0.2434 0.0416 0.057 0.1021
 100 400 0 80 0.0025 0.0033 0.0182 0.1767 0.0992 0.1116 0.2174
 100 400 0 40 0.0031 0.0041 0.016 0.2148 0.0934 0.1033 0.1832
 100 400 0 0 0.0027 0.0035 0.0159 0.2146 0.0727 0.0796 0.1707
 100 400 40 80 0.0026 0.0035 0.0134 0.1767 0.0854 0.0969 0.1762
 100 400 40 40 0.0033 0.0056 0.0165 0.2244 0.0776 0.0904 0.1576
 100 400 80 80 0.0041 0.0054 0.0225 0.2429 0.0572 0.079 0.1174
 100 500 0 80 0.0034 0.0054 0.0194 0.173 0.1254 0.1409 0.2465
 100 500 0 40 0.00410041 0.00570057 0.0151015 0.20182 0.113411 0.125013 0.205421
 100 500 0 0 0.00102669 0.00136893 0.00958248 0.220055 0.028063 0.0318275 0.0910335
 100 500 40 80 0.0036 0.0051 0.0179 0.1819 0.1064 0.122 0.2061
 100 500 40 40 0.0048 0.0069 0.0196 0.2214 0.0952 0.1098 0.1816
 100 500 80 80 0.0068 0.0098 0.0283 0.2509 0.0635 0.09 0.1325
 100 600 0 80 0.0039 0.006 0.0197 0.1691 0.1378 0.1554 0.2542
 100 600 0 40 0.0048 0.0078 0.0177 0.2085 0.1256 0.1431 0.2159
 100 600 0 0 0.00528751 0.00594845 0.0148711 0.191011 0.112029 0.11996 0.201256
 100 600 40 80 0.0041 0.0059 0.0164 0.168 0.1219 0.1415 0.2192
 100 600 40 40 0.0045 0.0063 0.0185 0.2184 0.1111 0.1276 0.1938
 100 600 80 80 0.0085 0.011 0.0282 0.2394 0.0864 0.1203 0.1565
 100 700 0 80 0.0037 0.0055 0.0192 0.1633 0.1562 0.175 0.276
 100 700 0 40 0.004 0.0055 0.0179 0.1982 0.1377 0.1527 0.2384
 100 700 0 0 0.00180832 0.00316456 0.0162749 0.19575 0.0786618 0.0877034 0.178571
 100 700 40 80 0.0052 0.0068 0.0202 0.171 0.1295 0.1534 0.2274
 100 700 40 40 0.0063 0.0087 0.0195 0.2263 0.1206 0.1386 0.2065
 100 700 80 80 0.0101 0.0135 0.0293 0.2339 0.0938 0.1343 0.1596
 100 800 0 80 0.0030003 0.00430043 0.020302 0.162816 0.164016 0.184018 0.288729
 100 800 0 40 0.00540054 0.00830083 0.0226023 0.20072 0.155616 0.175018 0.257826
 100 800 0 0 0.0029 0.0045 0.0146 0.209 0.0863 0.0967 0.1788
 100 800 40 80 0.0045 0.0062 0.0181 0.1757 0.151 0.1748 0.2466
 100 800 40 40 0.0057 0.0083 0.0196 0.2153 0.1315 0.1536 0.2204
 100 800 80 80 0.0115 0.0176 0.0282 0.2475 0.1049 0.1446 0.1597
 100 900 0 80 0.0053 0.0075 0.0221 0.1715 0.1742 0.1954 0.2974
 100 900 0 40 0.0055 0.0079 0.0201 0.1954 0.1675 0.1887 0.2647
 100 900 0 0 0.00678704 0.00883596 0.0225381 0.20963 0.132795 0.147522 0.236778
 100 900 40 80 0.00450045 0.00640064 0.0180018 0.170417 0.160216 0.185219 0.263126
 100 900 40 40 0.0072 0.0095 0.0235 0.2144 0.1487 0.168 0.2424
 100 900 80 80 0.0097 0.0153 0.0277 0.2418 0.1055 0.1483 0.1675
 100 1000 0 80 0.0056 0.0069 0.0208 0.1615 0.1843 0.2041 0.3025
 100 1000 0 40 0.00620062 0.00960096 0.0210021 0.20302 0.168617 0.189419 0.265827
 100 1000 0 0 0.00135074 0.00315173 0.0202611 0.204412 0.0886988 0.0977037 0.199009
 100 1000 40 80 0.0065 0.0092 0.0202 0.1688 0.1609 0.1894 0.2636
 100 1000 40 40 0.0085 0.011 0.0243 0.2184 0.1541 0.1758 0.2453
 100 1000 80 80 0.0102 0.0166 0.0305 0.24 0.1154 0.1637 0.182
 100 1100 0 80 0.0056 0.0078 0.022 0.1618 0.1926 0.2165 0.3156
 100 1100 0 40 0.0067 0.0094 0.0218 0.1957 0.1786 0.199 0.2817
 100 1100 0 0 0.00635627 0.00778643 0.0212935 0.208327 0.12649 0.141904 0.225171
 100 1100 40 80 0.0062 0.0087 0.0191 0.1676 0.1731 0.2004 0.2717
 100 1100 40 40 0.0086 0.0136 0.0238 0.2181 0.1645 0.1893 0.2528
 100 1100 80 80 0.0114 0.0177 0.0308 0.2465 0.1209 0.1697 0.1859
 100 1200 0 80 0.0052 0.0077 0.0195 0.1581 0.1994 0.2251 0.3204
 100 1200 0 40 0.0072 0.0118 0.023 0.2053 0.1834 0.2073 0.2856
 100 1200 0 0 0.00400962 0.00400962 0.0152366 0.194066 0.0938252 0.101844 0.185245
 100 1200 40 80 0.0064 0.0094 0.0219 0.169 0.1814 0.2108 0.278
 100 1200 40 40 0.0079 0.0113 0.0232 0.2108 0.1722 0.1968 0.2616
 100 1200 80 80 0.012 0.0184 0.0303 0.245 0.1268 0.1802 0.1897
 100 1300 0 80 0.005 0.0079 0.019 0.1554 0.2128 0.2404 0.3324
 100 1300 0 40 0.00640064 0.00890089 0.0214021 0.19672 0.19522 0.216922 0.29543
 100 1300 0 0 0.000960154 0.00120019 0.00984157 0.227076 0.0170427 0.018723 0.0633701
 100 1300 40 80 0.00630126 0.0095019 0.0191038 0.177836 0.180736 0.210242 0.273655
 100 1300 40 40 0.0082 0.013 0.0256 0.2177 0.1732 0.2 0.263
 100 1300 80 80 0.0124 0.0194 0.0312 0.2488 0.1312 0.1867 0.1891
 100 1400 0 80 0.0046 0.0068 0.0181 0.1538 0.2156 0.2401 0.3345
 100 1400 0 40 0.0083 0.0128 0.0219 0.1931 0.2046 0.2278 0.305
 100 1400 0 0 0.00222717 0.00356347 0.0111359 0.2 0.0454343 0.0547884 0.103786
 100 1400 40 80 0.0054 0.0091 0.0186 0.1682 0.192 0.2203 0.2941
 100 1400 40 40 0.0074 0.0117 0.0247 0.2095 0.1792 0.2089 0.2668
 100 1400 80 80 0.0129 0.0188 0.0331 0.2419 0.1346 0.1872 0.2006
 100 1500 0 80 0.00560056 0.00810081 0.0217022 0.157716 0.216922 0.244224 0.339534
 100 1500 0 40 0.0077 0.011 0.0225 0.2028 0.2008 0.2244 0.3032
 100 1500 0 0 0.00683761 0.00683761 0.0179487 0.175214 0.193162 0.206838 0.299145
 100 1500 40 80 0.0072 0.0106 0.0218 0.1631 0.1974 0.2271 0.2936
 100 1500 40 40 0.0079 0.0117 0.0269 0.2119 0.1836 0.2087 0.2798
 100 1500 80 80 0.0118 0.0179 0.0275 0.2312 0.1399 0.1973 0.1967
 100 1600 0 80 0.0067 0.009 0.0216 0.1574 0.2238 0.2519 0.3362
 100 1600 0 40 0.0056 0.0092 0.0201 0.1977 0.2001 0.2254 0.2956
 100 1600 0 0 0.00442268 0.00616016 0.0211657 0.203443 0.132365 0.146264 0.242142
 100 1600 40 80 0.0067 0.0103 0.0204 0.1655 0.2006 0.2357 0.2979
 100 1600 40 40 0.0097 0.0139 0.0271 0.2093 0.1945 0.2196 0.2879
 100 1600 80 80 0.0154 0.0213 0.0358 0.2417 0.1451 0.2028 0.2125
 100 1700 0 80 0.005 0.0083 0.019 0.1519 0.2225 0.2536 0.3406
 100 1700 0 40 0.0078 0.0113 0.0243 0.1963 0.2041 0.2304 0.3038
 100 1700 0 0 0.0025 0.0036 0.0168 0.2062 0.0943 0.1054 0.2001
 100 1700 40 80 0.0069 0.0111 0.0189 0.167 0.2079 0.2386 0.302
 100 1700 40 40 0.008 0.0112 0.024 0.2093 0.1868 0.2151 0.2764
 100 1700 80 80 0.0165 0.0221 0.0327 0.2371 0.1518 0.2113 0.2128
 100 1800 0 80 0.0073 0.0096 0.0226 0.1603 0.227 0.2547 0.35
 100 1800 0 40 0.0094 0.0134 0.0255 0.1971 0.2207 0.2442 0.3217
 100 1800 0 0 0.0110565 0.0153563 0.0313268 0.214988 0.178133 0.197174 0.271499
 100 1800 40 80 0.0062 0.0097 0.0187 0.1705 0.2028 0.2357 0.3059
 100 1800 40 40 0.0082 0.0116 0.0227 0.2081 0.1909 0.2164 0.2778
 100 1800 80 80 0.0143 0.02 0.0355 0.2399 0.1522 0.2061 0.2215
 100 1900 0 80 0.0069 0.0096 0.0218 0.1559 0.232 0.2605 0.3485
 100 1900 0 40 0.0097 0.0121 0.0242 0.1933 0.2122 0.2383 0.3131
 100 1900 0 0 0.0071829 0.00998598 0.0222495 0.207428 0.097232 0.108795 0.197617
 100 1900 40 80 0.00620062 0.00930093 0.0219022 0.162816 0.210421 0.243824 0.312931
 100 1900 40 40 0.0086 0.0133 0.0249 0.2007 0.1981 0.2291 0.2877
 100 1900 80 80 0.0154 0.0219 0.0344 0.2371 0.1598 0.213 0.2187
 100 2000 0 80 0.0085 0.0117 0.0238 0.1536 0.2333 0.2603 0.3539
 100 2000 0 40 0.0078 0.0105 0.0245 0.1967 0.2158 0.2406 0.3148
 100 2000 0 0 0.00667956 0.00808578 0.0212691 0.209879 0.133943 0.148708 0.218492
 100 2000 40 80 0.0084 0.0122 0.0221 0.1675 0.2124 0.244 0.3092
 100 2000 40 40 0.0091 0.0135 0.0245 0.2126 0.1956 0.2257 0.2833
 100 2000 80 80 0.0147 0.0217 0.033 0.239 0.1577 0.2214 0.2178
 200 100 0 80 0.0015 0.0027 0.0085 0.1191 0.1895 0.2592 0.2632
 200 100 0 40 0.0009 0.0015 0.0061 0.1434 0.1309 0.1842 0.1894
 200 100 0 0 0.0015 0.0022 0.0064 0.1444 0.1125 0.1664 0.17
 200 100 40 80 0.0029 0.0039 0.0093 0.1423 0.1813 0.25 0.253
 200 100 40 40 0.0017 0.0025 0.0075 0.1674 0.1181 0.168 0.1741
 200 100 80 80 0.0053 0.0075 0.0167 0.1609 0.2177 0.2867 0.2957
 200 200 0 160 0.0102 0.0145 0.0382 0.2277 0.2378 0.2668 0.3966
 200 200 0 80 0.0111 0.0148 0.0362 0.1869 0.2597 0.2887 0.4267
 200 200 0 0 0.0113755 0.0139846 0.0359006 0.156648 0.269046 0.300564 0.448341
 200 200 80 160 0.0107 0.0146 0.0325 0.2238 0.2038 0.2378 0.3445
 200 200 80 80 0.0163 0.019 0.0426 0.186 0.22 0.2492 0.3769
 200 200 160 160 0.0176 0.0245 0.0449 0.2649 0.1339 0.1797 0.2211
 200 300 0 160 0.0169 0.0219 0.0452 0.2191 0.2885 0.3245 0.4497
